0,0
0.001,7.09229e-006
0.002,1.41846e-005
0.003,2.12769e-005
0.004,2.83692e-005
0.005,3.54615e-005
0.006,4.25538e-005
0.007,4.96461e-005
0.008,5.67383e-005
0.009,6.38306e-005
0.01,7.09229e-005
0.011,7.80152e-005
0.012,8.51076e-005
0.013,9.21999e-005
0.014,9.92922e-005
0.015,0.000106384
0.016,0.000113477
0.017,0.000120569
0.018,0.000127661
0.019,0.000134754
0.02,0.000141846
0.021,0.000148938
0.022,0.000156031
0.023,0.000163123
0.024,0.000170216
0.025,0.000177308
0.026,0.0001844
0.027,0.000191493
0.028,0.000198585
0.029,0.000205678
0.03,0.00021277
0.031,0.000219862
0.032,0.000226955
0.033,0.000234047
0.034,0.00024114
0.035,0.000248232
0.036,0.000255325
0.037,0.000262417
0.038,0.00026951
0.039,0.000276602
0.04,0.000283695
0.041,0.000290787
0.042,0.00029788
0.043,0.000304972
0.044,0.000312065
0.045,0.000319157
0.046,0.00032625
0.047,0.000333342
0.048,0.000340435
0.049,0.000347528
0.05,0.00035462
0.051,0.000361713
0.052,0.000368806
0.053,0.000375898
0.054,0.000382991
0.055,0.000390084
0.056,0.000397176
0.057,0.000404269
0.058,0.000411362
0.059,0.000418455
0.06,0.000425548
0.061,0.00043264
0.062,0.000439733
0.063,0.000446826
0.064,0.000453919
0.065,0.000461012
0.066,0.000468105
0.067,0.000475197
0.068,0.00048229
0.069,0.000489383
0.07,0.000496476
0.071,0.000503569
0.072,0.000510662
0.073,0.000517755
0.074,0.000524848
0.075,0.000531941
0.076,0.000539034
0.077,0.000546127
0.078,0.000553221
0.079,0.000560314
0.08,0.000567407
0.081,0.0005745
0.082,0.000581593
0.083,0.000588686
0.084,0.00059578
0.085,0.000602873
0.086,0.000609966
0.087,0.000617059
0.088,0.000624153
0.089,0.000631246
0.09,0.000638339
0.091,0.000645433
0.092,0.000652526
0.093,0.000659619
0.094,0.000666713
0.095,0.000673806
0.096,0.0006809
0.097,0.000687993
0.098,0.000695087
0.099,0.00070218
0.1,0.000709274
0.101,0.000716367
0.102,0.000723461
0.103,0.000730555
0.104,0.000737648
0.105,0.000744742
0.106,0.000751836
0.107,0.000758929
0.108,0.000766023
0.109,0.000773117
0.11,0.000780211
0.111,0.000787304
0.112,0.000794398
0.113,0.000801492
0.114,0.000808586
0.115,0.00081568
0.116,0.000822774
0.117,0.000829868
0.118,0.000836962
0.119,0.000844056
0.12,0.00085115
0.121,0.000858244
0.122,0.000865338
0.123,0.000872432
0.124,0.000879526
0.125,0.00088662
0.126,0.000893714
0.127,0.000900809
0.128,0.000907903
0.129,0.000914997
0.13,0.000922091
0.131,0.000929186
0.132,0.00093628
0.133,0.000943374
0.134,0.000950469
0.135,0.000957563
0.136,0.000964657
0.137,0.000971752
0.138,0.000978846
0.139,0.000985941
0.14,0.000993035
0.141,0.00100013
0.142,0.00100722
0.143,0.00101432
0.144,0.00102141
0.145,0.00102851
0.146,0.0010356
0.147,0.0010427
0.148,0.00104979
0.149,0.00105689
0.15,0.00106398
0.151,0.00107108
0.152,0.00107817
0.153,0.00108527
0.154,0.00109236
0.155,0.00109946
0.156,0.00110655
0.157,0.00111365
0.158,0.00112074
0.159,0.00112784
0.16,0.00113493
0.161,0.00114203
0.162,0.00114912
0.163,0.00115622
0.164,0.00116331
0.165,0.00117041
0.166,0.0011775
0.167,0.0011846
0.168,0.00119169
0.169,0.00119879
0.17,0.00120588
0.171,0.00121298
0.172,0.00122007
0.173,0.00122717
0.174,0.00123427
0.175,0.00124136
0.176,0.00124846
0.177,0.00125555
0.178,0.00126265
0.179,0.00126974
0.18,0.00127684
0.181,0.00128393
0.182,0.00129103
0.183,0.00129813
0.184,0.00130522
0.185,0.00131232
0.186,0.00131941
0.187,0.00132651
0.188,0.0013336
0.189,0.0013407
0.19,0.0013478
0.191,0.00135489
0.192,0.00136199
0.193,0.00136908
0.194,0.00137618
0.195,0.00138328
0.196,0.00139037
0.197,0.00139747
0.198,0.00140457
0.199,0.00141166
0.2,0.00141876
0.201,0.00142585
0.202,0.00143295
0.203,0.00144005
0.204,0.00144714
0.205,0.00145424
0.206,0.00146134
0.207,0.00146843
0.208,0.00147553
0.209,0.00148262
0.21,0.00148972
0.211,0.00149682
0.212,0.00150391
0.213,0.00151101
0.214,0.00151811
0.215,0.0015252
0.216,0.0015323
0.217,0.0015394
0.218,0.00154649
0.219,0.00155359
0.22,0.00156069
0.221,0.00156778
0.222,0.00157488
0.223,0.00158198
0.224,0.00158908
0.225,0.00159617
0.226,0.00160327
0.227,0.00161037
0.228,0.00161746
0.229,0.00162456
0.23,0.00163166
0.231,0.00163875
0.232,0.00164585
0.233,0.00165295
0.234,0.00166005
0.235,0.00166714
0.236,0.00167424
0.237,0.00168134
0.238,0.00168844
0.239,0.00169553
0.24,0.00170263
0.241,0.00170973
0.242,0.00171683
0.243,0.00172392
0.244,0.00173102
0.245,0.00173812
0.246,0.00174522
0.247,0.00175231
0.248,0.00175941
0.249,0.00176651
0.25,0.00177361
0.251,0.0017807
0.252,0.0017878
0.253,0.0017949
0.254,0.001802
0.255,0.0018091
0.256,0.00181619
0.257,0.00182329
0.258,0.00183039
0.259,0.00183749
0.26,0.00184459
0.261,0.00185168
0.262,0.00185878
0.263,0.00186588
0.264,0.00187298
0.265,0.00188008
0.266,0.00188717
0.267,0.00189427
0.268,0.00190137
0.269,0.00190847
0.27,0.00191557
0.271,0.00192267
0.272,0.00192976
0.273,0.00193686
0.274,0.00194396
0.275,0.00195106
0.276,0.00195816
0.277,0.00196526
0.278,0.00197236
0.279,0.00197945
0.28,0.00198655
0.281,0.00199365
0.282,0.00200075
0.283,0.00200785
0.284,0.00201495
0.285,0.00202205
0.286,0.00202915
0.287,0.00203624
0.288,0.00204334
0.289,0.00205044
0.29,0.00205754
0.291,0.00206464
0.292,0.00207174
0.293,0.00207884
0.294,0.00208594
0.295,0.00209304
0.296,0.00210014
0.297,0.00210724
0.298,0.00211433
0.299,0.00212143
0.3,0.00212853
0.301,0.00213563
0.302,0.00214273
0.303,0.00214983
0.304,0.00215693
0.305,0.00216403
0.306,0.00217113
0.307,0.00217823
0.308,0.00218533
0.309,0.00219243
0.31,0.00219953
0.311,0.00220663
0.312,0.00221373
0.313,0.00222083
0.314,0.00222793
0.315,0.00223503
0.316,0.00224213
0.317,0.00224923
0.318,0.00225633
0.319,0.00226343
0.32,0.00227053
0.321,0.00227763
0.322,0.00228473
0.323,0.00229183
0.324,0.00229893
0.325,0.00230603
0.326,0.00231313
0.327,0.00232023
0.328,0.00232733
0.329,0.00233443
0.33,0.00234153
0.331,0.00234863
0.332,0.00235573
0.333,0.00236283
0.334,0.00236993
0.335,0.00237703
0.336,0.00238413
0.337,0.00239123
0.338,0.00239833
0.339,0.00240543
0.34,0.00241253
0.341,0.00241963
0.342,0.00242673
0.343,0.00243383
